0.0125	0.9750	1.0000	7.8550	0.187949461	0.187949461
0.0375	0.9500	0.9750	13.4750	0.275535842	0.275535842
0.0625	0.9250	0.9500	6.5640	0.134171532	0.134171532
0.0875	0.9000	0.9250	3.8550	0.084770278	0.084770278
0.1125	0.8750	0.9000	2.4420	0.053712196	0.053712196
0.1375	0.8500	0.8750	1.7370	0.050159745	0.050159745
0.1625	0.8250	0.8500	1.1950	0.031064449	0.031064449
0.1875	0.8000	0.8250	0.8590	0.022803509	0.022803509
0.2125	0.7750	0.8000	0.6430	0.019849433	0.019849433
0.2375	0.7500	0.7750	0.4880	0.016278821	0.016278821
0.2625	0.7250	0.7500	0.3420	0.013453624	0.013453624
0.2875	0.7000	0.7250	0.2500	0.013601471	0.013601471
0.3125	0.6750	0.7000	0.1660	0.009219544	0.009219544
0.3375	0.6500	0.6750	0.0890	0.008944272	0.008944272
0.3625	0.6250	0.6500	0.0340	0.002828427	0.002828427
0.3875	0.6000	0.6250	0.0050	0.001414214	0.001414214
0.4125	0.5750	0.6000	0.0010	0.001	0.001
